2026-05-06 15:18:58 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 0 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:18:58 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:19:18 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建预约 | Details: 预约ID: 3, 会议室: 会议室 A, 时间: 2026-05-06 15:30:00 - 2026-05-06 16:30:00, 事由: 11122423424
2026-05-06 15:19:18 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:19:18 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:19:19 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:19:32 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:19:32 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:19:32 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:19:37 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
